                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93004,                  1.615,                 1.2627,                0.67752,                0.09091,                0.11725,                0.09992,                 2.4795,                 4.3793,                 3.2975,              0.0083665,              0.0083665,              0.0083665
                     35,                0.98403,                 1.8031,                 1.3339,                0.87496,                0.09091,                0.12484,                 0.0617,                 2.6364,                 3.8368,                 3.2935,               0.008317,               0.008317,               0.008317
                     36,                0.87314,                 1.5837,                 1.2063,                0.27486,                0.45455,                 0.2212,                0.07807,                 2.5233,                 3.4794,                 2.9343,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1001,                 1.6871,                 1.3317,                0.41634,                0.09091,                0.05529,                0.03005,                 2.8173,                 3.7817,                 3.0597,               0.008218,               0.008218,               0.008218
                     38,                  0.975,                 1.6748,                 1.2564,                0.11915,                0.09091,                0.03275,                0.02242,                 3.4498,                 4.0946,                 3.4388,              0.0081685,              0.0081685,              0.0081685
                     39,                0.93504,                   1.55,                 1.2509,                0.00063,                0.27273,                0.00552,                0.00165,                 4.6587,                 4.9617,                 4.3279,               0.008119,               0.008119,               0.008119
                     40,                0.90092,                  1.579,                 1.2188,                0.04034,                0.09091,                0.00917,                 0.0024,                 3.7444,                 5.3023,                 3.4964,              0.0080695,              0.0080695,              0.0080695
                     41,                0.88668,                 1.5771,                 1.2814,                0.19626,                0.09091,                0.09787,                0.03566,                 3.5356,                 4.9052,                 3.6861,                0.00802,                0.00802,                0.00802
                     42,                0.97625,                 1.6247,                 1.2614,                0.08742,                0.09091,                0.01856,                 0.0053,                  3.457,                 4.8027,                  3.549,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.9483,                 1.5664,                 1.2729,                 0.0791,                0.09091,                0.01919,                0.01226,                 3.3004,                 3.9086,                 2.9506,               0.007921,               0.007921,               0.007921
                     44,                0.86818,                 1.5366,                 1.2753,                0.15714,                0.54545,                0.14305,                0.04754,                 2.1932,                 3.2012,                 2.4962,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0186,                 1.6529,                 1.3162,                0.11257,                0.36364,                0.10015,                 0.0294,                 2.1214,                  3.106,                 2.3927,               0.007822,               0.007822,               0.007822
